id,rate
00631,100.00 
99590,100.00 
17076,100.00 
25977,100.00 
50152,100.00 
23001,100.00 
24898,100.00 
24415,100.00 
41855,100.00 
42403,100.00 
40941,100.00 
57566,100.00 
57577,100.00 
57714,100.00 
57339,100.00 
61426,100.00 
52235,100.00 
10165,100.00 
57622,100.00 
57794,100.00 
41549,100.00 
43925,100.00 
41426,100.00 
41464,100.00 
38685,100.00 
64147,100.00 
72328,100.00 
72181,100.00 
72383,100.00 
79846,100.00 
83235,100.00 
82717,100.00 
82061,100.00 
92280,100.00 
95232,100.00 
95981,100.00 
95312,100.00 
95655,100.00 
89404,100.00 
89824,100.00 
85221,100.00 
87018,100.00 
88417,100.00 
86030,100.00 
87750,100.00 
87328,100.00 
85911,100.00 
86540,100.00 
86547,100.00 
85930,100.00 
00913,100.00 
57756,99.74 
78565,99.07 
93701,98.87 
25688,98.73 
35139,98.33 
00720,97.71 
00772,97.70 
42759,97.56 
84534,96.99 
57658,96.65 
57770,96.64 
84085,96.47 
70436,95.01 
70112,94.84 
83446,94.73 
00606,94.33 
45642,93.75 
36901,93.70 
85550,93.51 
25685,93.33 
31327,93.33 
38126,93.08 
71377,92.48 
84510,92.37 
26671,92.13 
97626,92.00 
37408,91.84 
86507,91.70 
87045,91.59 
72043,91.30 
56666,91.22 
57572,90.93 
00601,90.55 
38768,90.06 
63140,90.00 
00653,89.50 
88024,89.16 
40982,89.15 
57716,89.04 
00638,88.88 
00794,88.78 
98174,88.75 
87319,88.57 
00670,88.53 
00664,88.49 
00766,88.31 
57548,88.17 
00704,88.13 
00765,88.01 
00669,87.86 
44115,87.66 
57764,87.36 
57652,87.33 
00641,86.95 
99785,86.92 
65728,86.88 
58335,86.70 
25148,86.58 
99668,86.53 
00687,86.52 
87322,86.25 
15429,86.20 
41817,86.18 
42131,85.71 
00624,85.56 
58528,85.39 
78860,85.35 
42638,85.21 
41651,85.18 
26572,85.12 
57361,84.79 
57541,84.67 
41159,84.56 
00906,84.48 
58379,84.33 
98859,84.05 
99774,83.87 
78584,83.82 
95387,83.70 
00782,83.66 
57570,83.60 
86435,83.52 
59043,83.48 
36720,83.36 
72567,83.33 
87060,82.95 
10048,82.75 
70465,82.71 
38928,82.64 
00740,82.38 
71066,82.35 
86042,82.25 
00757,82.01 
86506,82.00 
57560,81.94 
87455,81.88 
88029,81.73 
19133,81.45 
78558,81.36 
78579,81.24 
25989,81.01 
00707,80.44 
32706,80.37 
00783,80.33 
40448,80.32 
86556,80.32 
29202,80.29 
78595,80.22 
00602,80.21 
00751,80.06 
00795,79.90 
78563,79.74 
65457,79.66 
84531,79.65 
20701,79.59 
00676,79.51 
15712,79.45 
87735,79.41 
79901,79.25 
45232,79.21 
86544,79.16 
00915,79.13 
86535,78.68 
59915,78.51 
86510,78.48 
00769,78.37 
63738,78.26 
41524,78.26 
86514,78.25 
63106,78.18 
87013,78.05 
38617,77.87 
41632,77.61 
68039,77.52 
00650,77.52 
00780,77.51 
24829,77.50 
86520,77.46 
90058,77.43 
24731,77.27 
00656,77.23 
36540,77.13 
00715,77.00 
00719,76.89 
86503,76.82 
99558,76.81 
00678,76.68 
00698,76.68 
40820,76.55 
00730,76.54 
63433,76.47 
00617,76.39 
88027,76.15 
57621,76.12 
87305,76.08 
00685,76.07 
24848,75.93 
00714,75.86 
39060,75.67 
40763,75.66 
00647,75.64 
97621,75.54 
00731,75.45 
00659,75.17 
41775,75.00 
34661,75.00 
24887,75.00 
78143,75.00 
86021,74.97 
85941,74.91 
36039,74.81 
86031,74.77 
37410,74.63 
00603,74.61 
65436,74.41 
83253,74.40 
87941,74.40 
78549,74.36 
59841,74.28 
00667,74.10 
85639,74.10 
26266,74.07 
00723,74.06 
98297,74.00 
00682,73.99 
70082,73.99 
59527,73.98 
00767,73.96 
00718,73.96 
00616,73.90 
93665,73.78 
99722,73.68 
56670,73.59 
44860,73.56 
79849,73.46 
